scope,threshold,label_en,label_zh,champion_hits,champions_considered,coverage,avg_pool_size,avg_candidate_share,missed_champions
evaluable_ex_france_1998,13,CCS and FIFA top 13,CCS 且 FIFA 前 13,7,7,1.0,6.571428571428571,0.21279761904761907,
evaluable_ex_france_1998,14,CCS and FIFA top 14,CCS 且 FIFA 前 14,7,7,1.0,7.0,0.22619047619047622,
evaluable_ex_france_1998,15,CCS and FIFA top 15,CCS 且 FIFA 前 15,7,7,1.0,7.285714285714286,0.23511904761904764,
evaluable_ex_france_1998,16,CCS and FIFA top 16,CCS 且 FIFA 前 16,7,7,1.0,7.428571428571429,0.24107142857142858,
evaluable_ex_france_1998,17,CCS and FIFA top 17,CCS 且 FIFA 前 17,7,7,1.0,7.571428571428571,0.24553571428571427,
evaluable_ex_france_1998,18,CCS and FIFA top 18,CCS 且 FIFA 前 18,7,7,1.0,7.714285714285714,0.25,
evaluable_ex_france_1998,19,CCS and FIFA top 19,CCS 且 FIFA 前 19,7,7,1.0,8.0,0.25892857142857145,
evaluable_ex_france_1998,20,CCS and FIFA top 20,CCS 且 FIFA 前 20,7,7,1.0,8.285714285714286,0.26785714285714285,
evaluable_ex_france_1998,21,CCS and FIFA top 21,CCS 且 FIFA 前 21,7,7,1.0,8.428571428571429,0.27232142857142855,
evaluable_ex_france_1998,22,CCS and FIFA top 22,CCS 且 FIFA 前 22,7,7,1.0,8.428571428571429,0.27232142857142855,
evaluable_ex_france_1998,23,CCS and FIFA top 23,CCS 且 FIFA 前 23,7,7,1.0,8.571428571428571,0.2767857142857143,
evaluable_ex_france_1998,24,CCS and FIFA top 24,CCS 且 FIFA 前 24,7,7,1.0,8.571428571428571,0.2767857142857143,
evaluable_ex_france_1998,25,CCS and FIFA top 25,CCS 且 FIFA 前 25,7,7,1.0,8.571428571428571,0.2767857142857143,
