year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
1954,Uruguay,URY,third-place match,0,,1934;1938,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1954,Germany,DEU,final,1,1934,1934;1938,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1954,Yugoslavia,YUG,quarter-finals,0,,1934;1938,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Argentina,ARG,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Austria,AUT,group stage,1,1954,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Brazil,BRA,final,1,1938;1954,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Czechoslovakia,CSK,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,England,ENG,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,France,FRA,third-place match,1,1938,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Hungary,HUN,group stage,1,1938;1954,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Mexico,MEX,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Northern Ireland,NIR,quarter-finals,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Paraguay,PRY,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Scotland,SCO,group stage,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Soviet Union,SUN,quarter-finals,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Sweden,SWE,final,1,1938,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Wales,WAL,quarter-finals,0,,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Germany,DEU,third-place match,1,1954,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1958,Yugoslavia,YUG,quarter-finals,1,1954,1938;1954,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Argentina,ARG,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Brazil,BRA,final,1,1954;1958,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Bulgaria,BGR,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Chile,CHL,third-place match,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Colombia,COL,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Czechoslovakia,CSK,final,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,England,ENG,quarter-finals,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Hungary,HUN,quarter-finals,1,1954,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Italy,ITA,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Mexico,MEX,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Soviet Union,SUN,quarter-finals,1,1958,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Spain,ESP,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Switzerland,CHE,group stage,0,,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Uruguay,URY,group stage,1,1954,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Germany,DEU,quarter-finals,1,1954;1958,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1962,Yugoslavia,YUG,third-place match,1,1954,1954;1958,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Argentina,ARG,quarter-finals,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Brazil,BRA,group stage,1,1958;1962,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Bulgaria,BGR,group stage,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Chile,CHL,group stage,1,1962,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,England,ENG,final,1,1962,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,France,FRA,group stage,1,1958,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Hungary,HUN,quarter-finals,1,1962,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Italy,ITA,group stage,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Mexico,MEX,group stage,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,North Korea,PRK,quarter-finals,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Portugal,PRT,third-place match,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Soviet Union,SUN,third-place match,1,1958,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Spain,ESP,group stage,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Switzerland,CHE,group stage,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Uruguay,URY,quarter-finals,0,,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1966,Germany,DEU,final,1,1958,1958;1962,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Belgium,BEL,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Brazil,BRA,final,1,1962,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Bulgaria,BGR,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Czechoslovakia,CSK,group stage,1,1962,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,El Salvador,SLV,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,England,ENG,quarter-finals,1,1962;1966,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Israel,ISR,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Italy,ITA,final,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Mexico,MEX,quarter-finals,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Morocco,MAR,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Peru,PER,quarter-finals,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1970,Romania,ROU,group stage,0,,1962;1966,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
