year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows,team_code_rank,fifa_rank,fifa_points,ranking_official_date,rank_bucket
2002,Paraguay,PRY,round of 16,Fjelstul qualified_teams.csv,1,1998,1994;1998,PAR,18.0,671.0,2002-05-15,16-25
2002,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,POL,38.0,615.0,2002-05-15,26+
2002,Portugal,PRT,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,POR,5.0,726.0,2002-05-15,Top 5
2002,Republic of Ireland,IRL,round of 16,Fjelstul qualified_teams.csv,0,,1994;1998,IRL,15.0,674.0,2002-05-15,11-15
2002,Russia,RUS,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,RUS,28.0,644.0,2002-05-15,26+
2002,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,KSA,34.0,627.0,2002-05-15,26+
2002,Senegal,SEN,quarter-finals,Fjelstul qualified_teams.csv,0,,1994;1998,SEN,42.0,599.0,2002-05-15,26+
2002,Slovenia,SVN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,SVN,25.0,649.0,2002-05-15,16-25
2002,South Africa,ZAF,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,RSA,37.0,623.0,2002-05-15,26+
2002,South Korea,KOR,third-place match,Fjelstul qualified_teams.csv,0,,1994;1998,KOR,40.0,603.0,2002-05-15,26+
2002,Spain,ESP,quarter-finals,Fjelstul qualified_teams.csv,1,1994,1994;1998,ESP,8.0,713.0,2002-05-15,6-10
2002,Sweden,SWE,round of 16,Fjelstul qualified_teams.csv,1,1994,1994;1998,SWE,19.0,665.0,2002-05-15,16-25
2002,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,TUN,31.0,635.0,2002-05-15,26+
2002,Turkey,TUR,third-place match,Fjelstul qualified_teams.csv,0,,1994;1998,TUR,22.0,654.0,2002-05-15,16-25
2002,USA,USA,quarter-finals,Fjelstul qualified_teams.csv,1,1994,1994;1998,USA,13.0,690.0,2002-05-15,11-15
2002,Uruguay,URY,group stage,Fjelstul qualified_teams.csv,0,,1994;1998,URU,24.0,652.0,2002-05-15,16-25
2006,Angola,AGO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,ANG,57.0,581.0,2006-05-17,26+
2006,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,0,,1998;2002,ARG,9.0,746.0,2006-05-17,6-10
2006,Australia,AUS,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,AUS,42.0,612.0,2006-05-17,26+
2006,Brazil,BRA,quarter-finals,Fjelstul qualified_teams.csv,1,1998;2002,1998;2002,BRA,1.0,827.0,2006-05-17,Top 5
2006,Costa Rica,CRI,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,CRC,26.0,683.0,2006-05-17,26+
2006,Croatia,HRV,group stage,Fjelstul qualified_teams.csv,1,1998,1998;2002,CRO,23.0,686.0,2006-05-17,16-25
2006,Czech Republic,CZE,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,CZE,2.0,772.0,2006-05-17,Top 5
2006,Ecuador,ECU,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,ECU,39.0,631.0,2006-05-17,26+
2006,England,ENG,quarter-finals,Fjelstul qualified_teams.csv,1,2002,1998;2002,ENG,10.0,741.0,2006-05-17,6-10
2006,France,FRA,final,Fjelstul qualified_teams.csv,1,1998,1998;2002,FRA,8.0,749.0,2006-05-17,6-10
2006,Germany,DEU,third-place match,Fjelstul qualified_teams.csv,1,2002,1998;2002,GER,19.0,696.0,2006-05-17,16-25
2006,Ghana,GHA,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,GHA,48.0,600.0,2006-05-17,26+
2006,Iran,IRN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,IRN,23.0,686.0,2006-05-17,16-25
2006,Italy,ITA,final,Fjelstul qualified_teams.csv,1,1998,1998;2002,ITA,13.0,728.0,2006-05-17,11-15
2006,Ivory Coast,CIV,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,CIV,32.0,669.0,2006-05-17,26+
2006,Japan,JPN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,JPN,18.0,705.0,2006-05-17,16-25
2006,Mexico,MEX,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,MEX,4.0,758.0,2006-05-17,Top 5
2006,Netherlands,NLD,round of 16,Fjelstul qualified_teams.csv,1,1998,1998;2002,NED,3.0,768.0,2006-05-17,Top 5
2006,Paraguay,PRY,group stage,Fjelstul qualified_teams.csv,1,1998;2002,1998;2002,PAR,33.0,653.0,2006-05-17,26+
2006,Poland,POL,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,POL,29.0,677.0,2006-05-17,26+
2006,Portugal,PRT,third-place match,Fjelstul qualified_teams.csv,0,,1998;2002,POR,7.0,750.0,2006-05-17,6-10
2006,Saudi Arabia,SAU,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,KSA,34.0,651.0,2006-05-17,26+
2006,Serbia and Montenegro,SCG,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,SCG,44.0,610.0,2006-05-17,26+
2006,South Korea,KOR,group stage,Fjelstul qualified_teams.csv,1,2002,1998;2002,KOR,29.0,677.0,2006-05-17,26+
2006,Spain,ESP,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,ESP,5.0,756.0,2006-05-17,Top 5
2006,Sweden,SWE,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,SWE,16.0,709.0,2006-05-17,16-25
2006,Switzerland,CHE,round of 16,Fjelstul qualified_teams.csv,0,,1998;2002,SUI,35.0,648.0,2006-05-17,26+
2006,Togo,TGO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,TOG,61.0,569.0,2006-05-17,26+
2006,Trinidad and Tobago,TTO,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,TRI,47.0,604.0,2006-05-17,26+
2006,Tunisia,TUN,group stage,Fjelstul qualified_teams.csv,0,,1998;2002,TUN,21.0,693.0,2006-05-17,16-25
2006,Ukraine,UKR,quarter-finals,Fjelstul qualified_teams.csv,0,,1998;2002,UKR,45.0,609.0,2006-05-17,26+
2006,USA,USA,group stage,Fjelstul qualified_teams.csv,1,2002,1998;2002,USA,5.0,756.0,2006-05-17,Top 5
2010,Algeria,DZA,group stage,Fjelstul qualified_teams.csv,0,,2002;2006,ALG,30.0,821.0,2010-05-26,26+
2010,Argentina,ARG,quarter-finals,Fjelstul qualified_teams.csv,0,,2002;2006,ARG,7.0,1076.0,2010-05-26,6-10
2010,Australia,AUS,group stage,Fjelstul qualified_teams.csv,1,2006,2002;2006,AUS,20.0,886.0,2010-05-26,16-25
